iter	Passed	Remaining
0	1	467
1	3	449
2	4	412
3	5	399
4	6	409
5	8	413
6	9	412
7	11	417
8	12	413
9	14	411
10	15	409
11	17	408
12	18	406
13	19	404
14	21	400
15	22	399
16	23	399
17	25	400
18	26	398
19	28	397
20	29	396
21	31	395
22	32	393
23	34	391
24	35	391
25	37	390
26	38	388
27	39	387
28	41	386
29	42	384
30	44	382
31	45	382
32	47	380
33	48	377
34	49	376
35	51	375
36	52	374
37	53	371
38	55	370
39	56	368
40	58	367
41	59	368
42	61	367
43	63	366
44	64	365
45	65	364
46	67	362
47	68	360
48	70	358
49	71	357
50	72	354
51	74	355
52	76	354
53	77	352
54	78	350
55	80	348
56	81	347
57	82	345
58	84	343
59	85	342
60	87	341
61	89	341
62	90	340
63	91	338
64	93	337
65	94	336
66	96	334
67	97	333
68	99	331
69	100	330
70	101	328
71	103	327
72	105	326
73	106	325
74	107	323
75	109	321
76	110	321
77	112	319
78	113	317
79	114	316
80	116	316
81	118	314
82	119	313
83	121	312
84	122	311
85	125	311
86	126	309
87	128	310
88	130	310
89	132	309
90	133	307
91	135	305
92	137	305
93	138	303
94	139	302
95	141	300
96	142	298
97	144	298
98	146	296
99	147	294
100	148	293
101	150	291
102	151	289
103	152	287
104	154	286
105	155	284
106	156	282
107	158	281
108	159	279
109	161	278
110	162	276
111	163	274
112	165	273
113	166	271
114	167	269
115	169	268
116	170	266
117	171	265
118	173	263
119	174	261
120	177	262
121	178	260
122	179	258
123	181	257
124	182	255
125	184	254
126	185	253
127	187	251
128	188	249
129	189	247
130	190	246
131	192	244
132	193	243
133	196	242
134	198	242
135	199	240
136	201	239
137	202	238
138	204	236
139	206	235
140	207	234
141	209	232
142	210	231
143	212	229
144	213	228
145	215	227
146	216	225
147	218	224
148	220	223
149	222	222
150	224	221
151	225	219
152	226	217
153	228	216
154	229	214
155	230	212
156	232	211
157	233	209
158	234	208
159	236	207
160	238	206
161	240	204
162	241	202
163	242	201
164	244	199
165	245	198
166	246	196
167	248	195
168	249	193
169	251	192
170	253	191
171	254	189
172	256	188
173	257	186
174	259	185
175	261	183
176	262	182
177	263	180
178	265	179
179	266	177
180	267	176
181	269	174
182	270	172
183	272	171
184	273	170
185	275	168
186	276	167
187	277	165
188	279	163
189	280	162
190	281	160
191	283	159
192	284	157
193	286	156
194	287	155
195	289	153
196	290	151
197	291	150
198	292	148
199	294	147
200	295	145
201	297	144
202	298	142
203	300	141
204	302	139
205	303	138
206	304	136
207	305	135
208	307	133
209	308	132
210	309	130
211	311	129
212	312	127
213	313	125
214	315	124
215	316	123
216	318	121
217	319	120
218	320	118
219	322	117
220	324	115
221	325	114
222	326	112
223	327	111
224	329	109
225	330	108
226	332	106
227	333	105
228	335	104
229	337	102
230	339	101
231	340	99
232	341	98
233	343	96
234	344	95
235	346	93
236	347	92
237	349	91
238	350	89
239	352	88
240	353	86
241	354	85
242	356	83
243	357	82
244	358	80
245	360	79
246	361	77
247	363	76
248	364	74
249	365	73
250	367	71
251	368	70
252	369	68
253	372	67
254	374	66
255	375	64
256	377	63
257	378	61
258	379	60
259	381	58
260	382	57
261	383	55
262	385	54
263	386	52
264	387	51
265	389	49
266	390	48
267	392	46
268	393	45
269	394	43
270	396	42
271	398	40
272	399	39
273	400	38
274	402	36
275	403	35
276	404	33
277	406	32
278	407	30
279	409	29
280	410	27
281	412	26
282	413	24
283	414	23
284	416	21
285	418	20
286	419	19
287	421	17
288	422	16
289	423	14
290	425	13
291	426	11
292	427	10
293	429	8
294	430	7
295	431	5
296	433	4
297	434	2
298	435	1
299	437	0
